"All Websites","Vse spletne strani"
"Apply Discounts To FPT","Uporabi popuste za fiksni davek produktov"
"Display Prices In Emails","Prikaži cene v e-poštah"
"Display Prices In Product Lists","Prikaži cene v seznamih produktov"
"Display Prices In Sales Modules","Prikaži cene v modulih prodaje"
"Display Prices On Product View Page","Prikaži cene na strani pogleda produkta"
"Enable FPT","Omogoči fiksni davek produktov"
"Excluding FPT","Brez fiksnega davka produktov"
"Excluding FPT, FPT description, final price","Brez fiksnega davka produktov, njegovega opisa, končne cene"
"FPT Tax Configuration","Nastavitve fiksnega davka produktov"
"Fixed Product Tax","Fiksni davek produkta"
"Fixed Product Taxes","Fiksni davki produkta"
"Include FPT In Subtotal","Vključi fiksni davek produktov v vmesnem seštevku"
"Including FPT and FPT description","Vključuje fiksni davek produktov in njegov opis "
"Including FPT and FPT description [incl. FPT VAT]","Vključuje fiksni davek produktov in njegov opis [vključno z DDV]"
"Including FPT only","Vključuje samo fiksni davek produkta"
"Loaded and Displayed with Tax","Naloženo in prikazano z davkom"
"Not Taxed","Ni obdavčeno"
"Taxed","Obdavčeno"
"Total","Skupaj"
"Total Incl. Tax","Skupno vključno z davkom"
"Total excl. tax","Skupno brez davka"
"Total incl. tax","Skupno vključno z davkom"
"Total:","Skupaj:"
